               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11253,            0.029609,            0.029562,                   0,                   0,                   0,                   0,            0.079802,             0.02167,            0.019354,              0.0973,              0.0003,              0.0003
                   1,             0.11331,             0.03044,            0.030421,                   0,                   0,                   0,                   0,            0.076259,            0.021023,            0.019176,            0.093688,          0.00068845,          0.00068845
                   2,            0.087522,             0.02957,            0.022256,           0.0024986,               0.375,            0.010145,            0.002923,            0.067452,            0.019565,            0.018811,            0.090064,           0.0010637,           0.0010637
                   3,             0.10118,            0.030806,            0.028236,           0.0019758,               0.375,            0.053716,            0.017067,            0.058058,            0.018499,            0.018062,            0.086426,           0.0014257,           0.0014257
                   4,            0.077951,            0.027892,             0.02161,           0.0023823,               0.625,            0.025031,           0.0057946,            0.054197,            0.017244,            0.018721,            0.082775,           0.0017746,           0.0017746
                   5,            0.061063,             0.03025,            0.018615,           0.0033363,                   1,            0.033924,           0.0093132,            0.053569,            0.016519,            0.018143,             0.07911,           0.0021103,           0.0021103
                   6,            0.066957,            0.027255,            0.022953,           0.0048192,                   1,             0.15046,             0.02305,            0.050545,            0.015575,            0.017205,            0.075433,           0.0024327,           0.0024327
                   7,            0.074117,            0.030404,            0.020632,           0.0033414,                   1,            0.047111,            0.010241,            0.046996,            0.014727,            0.016508,            0.071742,            0.002742,            0.002742
                   8,            0.065347,            0.028532,            0.024565,           0.0033341,                   1,             0.26788,             0.10169,            0.048348,            0.013113,            0.016071,            0.068038,            0.003038,            0.003038
                   9,            0.056752,            0.027168,            0.019083,           0.0033438,                   1,             0.23609,            0.060013,            0.045674,            0.012139,             0.01577,            0.064321,           0.0033208,           0.0033208
                  10,             0.07171,            0.028362,            0.022928,           0.0079355,                   1,              0.2853,            0.067548,            0.044685,            0.011382,            0.015824,             0.06059,           0.0035905,           0.0035905
                  11,            0.056104,            0.027439,            0.023719,           0.0033378,                   1,             0.25332,            0.084509,            0.042811,            0.010805,            0.015117,            0.056847,            0.003847,            0.003847
                  12,            0.057239,            0.025574,            0.018329,            0.099532,               0.875,             0.30427,             0.11143,            0.036326,            0.010607,            0.014959,             0.05309,           0.0040902,           0.0040902
                  13,            0.066002,            0.027364,            0.021096,             0.23074,                0.75,             0.30713,            0.089912,            0.032962,            0.010658,            0.013821,             0.04932,           0.0043202,           0.0043202
                  14,            0.063236,            0.025824,            0.022641,               0.201,                0.75,             0.34945,            0.098879,             0.03301,            0.010576,            0.013622,            0.045537,           0.0045371,           0.0045371
